FertilizationPlanId,PlanName,PlanDescription,CropType,PlanStageId,StageName,Rationale,TimingBase,TimingFactor,ApplicationMethodId,NitrogenPercent,PhosphorusPercent,PotassiumPercent,SulfurPercent,CalciumPercent,MagnesiumPercent,BoronPercent,ZincPercent,ManganesePercent,CopperPercent,IronPercent,MolybdenumPercent
10,Інтенсивний,"План для цукрового буряку, спрямований на високу врожайність та цукристість.",SugarBeet,31,Основне внесення,"Внесення основної норми P та K восени, та N навесні під культивацію.",PreSowing,-5,1,0.6,1.0,0.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Інтенсивний,"План для цукрового буряку, спрямований на високу врожайність та цукристість.",SugarBeet,32,Підживлення,Прикореневе підживлення азотом та калієм для підтримки росту.,Development,0.4,2,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Інтенсивний,"План для цукрового буряку, спрямований на високу врожайність та цукристість.",SugarBeet,33,Листкове підживлення (4-6 листків),"Перше внесення мікроелементів, особливо бору та марганцю.",Development,0.6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
10,Інтенсивний,"План для цукрового буряку, спрямований на високу врожайність та цукристість.",SugarBeet,34,Листкове підживлення (змикання рядків),Друге внесення мікроелементів для підтримки фотосинтезу та накопичення цукрів.,MidSeason,0.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
11,Інтенсивний (безхлорний),План для картоплі з використанням безхлорних добрив для максимальної якості бульб.,Potato,35,Основне внесення,Внесення NPK під весняну оранку або фрезерування гребенів.,PreSowing,-7,1,0.7,0.8,0.7,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
11,Інтенсивний (безхлорний),План для картоплі з використанням безхлорних добрив для максимальної якості бульб.,Potato,36,Локальне внесення,Внесення стартової дози NPK в гребінь під час садіння.,Initial,0,2,0.3,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
11,Інтенсивний (безхлорний),План для картоплі з використанням безхлорних добрив для максимальної якості бульб.,Potato,37,Листкове підживлення (змикання бадилля),"Внесення мікроелементів (Mg, Mn, B) для активізації фотосинтезу.",Development,0.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0
11,Інтенсивний (безхлорний),План для картоплі з використанням безхлорних добрив для максимальної якості бульб.,Potato,38,Листкове підживлення (бутонізація),Підтримка рослин в період інтенсивного формування бульб.,MidSeason,0.2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
12,Фертигація (відкритий ґрунт),План для інтенсивного вирощування томатів з використанням краплинного зрошення.,Tomato,39,Укорінення,Застосування розчинів з високим вмістом фосфору та кальцію після висадки розсади.,Initial,0.5,5,0.1,0.4,0.1,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
12,Фертигація (відкритий ґрунт),План для інтенсивного вирощування томатів з використанням краплинного зрошення.,Tomato,40,Вегетативний ріст,Застосування збалансованої формули NPK для нарощування вегетативної маси.,Development,0.5,5,0.4,0.2,0.3,0.3,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0
12,Фертигація (відкритий ґрунт),План для інтенсивного вирощування томатів з використанням краплинного зрошення.,Tomato,41,Цвітіння та зав'язування,"Перехід на формулу з підвищеним вмістом калію та фосфору, внесення бору.",MidSeason,0.3,5,0.2,0.2,0.3,0.2,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0
12,Фертигація (відкритий ґрунт),План для інтенсивного вирощування томатів з використанням краплинного зрошення.,Tomato,42,Ріст та дозрівання плодів,Застосування висококалійної формули для покращення якості плодів.,LateSeason,0.5,5,0.3,0.2,0.3,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
13,Стандартний (Кукурудза),"Базовий план для кукурудзи, що забезпечує стабільний врожай.",Corn,43,Основне внесення,Внесення основної норми P та K.,PreSowing,-15,1,0.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Стандартний (Кукурудза),"Базовий план для кукурудзи, що забезпечує стабільний врожай.",Corn,44,Весняне підживлення,Одноразове внесення азоту під передпосівну культивацію або в ранній фазі вегетації.,Development,0.3,2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Стандартний (Соняшник),Базовий план для соняшнику з обов'язковим внесенням бору.,Sunflower,45,Основне внесення,Внесення основної норми NPK.,PreSowing,-10,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Стандартний (Соняшник),Базовий план для соняшнику з обов'язковим внесенням бору.,Sunflower,46,Листкове підживлення,Одноразове внесення бору та комплексу мікроелементів у фазі 4-6 пар листків.,Development,0.5,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
